                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0916,                 1.7117,                 1.3159,                0.36068,                0.42625,                0.28302,                0.16787,                 1.1516,                 13.257,                 1.5596,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0881,                  1.186,                 1.3173,                0.35789,                0.40839,                0.25262,                0.13368,                 1.4967,                 15.469,                  2.062,              0.0010841,              0.0010841,              0.0010841
                      3,                  1.145,                 1.2672,                 1.3608,                0.28152,                0.41121,                0.23319,                0.11109,                 1.7888,                 28.488,                 2.5841,               0.001618,               0.001618,               0.001618
                      4,                 1.1365,                 1.1523,                 1.3391,                0.27938,                0.49608,                 0.3696,                0.20417,                 1.5295,                 7.5594,                 2.1944,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1032,                 1.1041,                 1.3269,                0.60797,                0.58568,                0.60803,                0.38003,                 1.2847,                 2.8473,                 1.7594,               0.001601,               0.001601,               0.001601
                      6,                  1.066,                 1.0382,                 1.2916,                0.55736,                0.58605,                0.55739,                0.32549,                 1.3553,                 2.3924,                 1.7451,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0185,                 1.0012,                 1.2774,                0.66131,                0.58576,                0.63344,                 0.4174,                 1.2013,                 1.9546,                 1.5509,               0.001568,               0.001568,               0.001568
                      8,                 1.0151,                0.95212,                 1.2696,                0.69422,                0.62527,                0.69859,                0.46644,                 1.1628,                 1.3561,                 1.4722,              0.0015515,              0.0015515,              0.0015515
                      9,                0.98267,                0.94791,                 1.2444,                0.62332,                0.51144,                 0.5412,                0.35872,                  1.278,                  1.887,                  1.601,               0.001535,               0.001535,               0.001535
                     10,                0.95779,                0.91433,                  1.224,                0.58669,                0.53904,                0.56897,                0.38257,                 1.2009,                 1.5546,                 1.5256,              0.0015185,              0.0015185,              0.0015185
                     11,                0.93574,                0.87495,                  1.202,                0.77567,                0.66154,                0.74304,                0.47708,                 1.1424,                 1.0105,                 1.4603,               0.001502,               0.001502,               0.001502
                     12,                0.92165,                0.84962,                 1.2041,                0.61644,                0.67742,                0.67141,                0.45024,                 1.0965,                 1.3508,                  1.452,              0.0014855,              0.0014855,              0.0014855
                     13,                0.90644,                0.84492,                 1.1943,                0.61956,                0.70773,                0.69601,                0.47864,                 1.0856,                  1.222,                 1.4067,               0.001469,               0.001469,               0.001469
                     14,                0.93645,                0.86423,                 1.1907,                 0.6376,                0.67682,                 0.7023,                0.45458,                 1.2111,                 1.1349,                  1.513,              0.0014525,              0.0014525,              0.0014525
                     15,                0.90308,                0.82814,                 1.1827,                0.78587,                0.71394,                0.78639,                0.53105,                 1.1164,                 1.0156,                 1.4556,               0.001436,               0.001436,               0.001436
                     16,                0.89753,                0.80335,                 1.1856,                 0.7638,                0.68984,                0.76273,                0.51692,                 1.1054,                 0.9196,                  1.446,              0.0014195,              0.0014195,              0.0014195
                     17,                0.87298,                0.76229,                 1.1605,                0.76286,                0.70956,                  0.773,                0.54259,                0.99141,                 1.0269,                 1.3356,              0.0014029,              0.0014029,              0.0014029
                     18,                0.86524,                0.74285,                 1.1583,                0.69527,                0.67986,                0.72794,                0.51261,                 1.0226,                0.92752,                 1.3275,              0.0013864,              0.0013864,              0.0013864
                     19,                0.83328,                0.71328,                 1.1433,                0.81309,                0.68188,                0.77328,                 0.5518,                 1.0095,                0.90448,                 1.3189,              0.0013699,              0.0013699,              0.0013699
                     20,                0.81122,                0.72397,                 1.1396,                0.76136,                0.71125,                0.78009,                0.53523,                 1.0546,                 0.9422,                 1.3767,              0.0013534,              0.0013534,              0.0013534
                     21,                0.83019,                 0.7301,                 1.1489,                0.76292,                 0.6888,                0.76196,                0.51015,                 1.0676,                0.90173,                 1.3843,              0.0013369,              0.0013369,              0.0013369
                     22,                0.82065,                0.71565,                 1.1353,                0.78543,                 0.7722,                0.81372,                0.56374,                  1.002,                0.80858,                 1.3641,              0.0013204,              0.0013204,              0.0013204
                     23,                0.78251,                0.68012,                  1.122,                0.76098,                0.77607,                0.77954,                0.55163,                 1.0156,                0.87294,                 1.3073,              0.0013039,              0.0013039,              0.0013039
                     24,                0.81189,                0.69459,                 1.1308,                 0.7866,                0.71641,                0.78847,                 0.5465,                0.99292,                0.90974,                 1.3456,              0.0012874,              0.0012874,              0.0012874
                     25,                0.78128,                0.65463,                 1.1072,                0.78172,                0.69808,                0.75097,                0.53584,                 1.0374,                0.95172,                 1.3762,              0.0012709,              0.0012709,              0.0012709
                     26,                0.78999,                0.66664,                 1.1199,                0.74603,                0.71276,                0.72405,                0.49646,                 1.0888,                 0.9527,                 1.3635,              0.0012544,              0.0012544,              0.0012544
                     27,                0.75008,                0.61652,                 1.0921,                0.75157,                0.79027,                0.79533,                0.57457,                0.93192,                0.83219,                 1.2873,              0.0012379,              0.0012379,              0.0012379
                     28,                0.75655,                0.63054,                 1.0928,                0.78997,                0.70666,                0.78806,                0.56356,                0.98701,                0.91131,                 1.3248,              0.0012214,              0.0012214,              0.0012214
                     29,                0.73794,                0.60943,                 1.0912,                   0.81,                0.71582,                0.76086,                0.53454,                 1.0372,                0.91138,                 1.3721,              0.0012049,              0.0012049,              0.0012049
                     30,                0.75396,                0.62315,                 1.0968,                0.74628,                 0.7379,                0.78476,                0.54276,                0.98714,                0.83458,                 1.3464,              0.0011884,              0.0011884,              0.0011884
                     31,                0.72178,                0.59055,                 1.0774,                0.83409,                0.73594,                 0.8183,                0.58254,                0.97049,                0.75938,                 1.3136,              0.0011719,              0.0011719,              0.0011719
                     32,                0.72691,                0.58892,                 1.0771,                0.84146,                0.74869,                0.82526,                0.59452,                0.94756,                0.76305,                 1.3004,              0.0011554,              0.0011554,              0.0011554
                     33,                0.74424,                0.59457,                 1.1014,                0.75133,                0.74354,                0.78017,                0.54273,                0.97653,                0.78717,                 1.3524,              0.0011389,              0.0011389,              0.0011389
                     34,                0.71523,                0.59333,                 1.0786,                0.82169,                0.78618,                0.82484,                  0.593,                0.98786,                0.74395,                 1.3274,              0.0011224,              0.0011224,              0.0011224
                     35,                0.71245,                0.57894,                 1.0754,                0.82031,                0.76552,                0.83158,                0.58699,                0.93717,                0.78049,                 1.2869,              0.0011059,              0.0011059,              0.0011059
                     36,                0.69806,                0.55557,                 1.0598,                0.78487,                0.78212,                0.82114,                0.58065,                0.95908,                0.74836,                 1.2791,              0.0010894,              0.0010894,              0.0010894
                     37,                0.70576,                0.57392,                 1.0718,                0.81526,                0.77004,                0.81809,                0.58822,                0.97698,                0.77094,                  1.296,              0.0010729,              0.0010729,              0.0010729
                     38,                0.70167,                0.57371,                 1.0644,                0.81414,                0.76007,                0.82215,                  0.605,                0.92298,                0.74281,                  1.282,              0.0010564,              0.0010564,              0.0010564
                     39,                0.68122,                0.55285,                 1.0543,                0.80856,                0.68002,                0.76596,                0.53923,                0.96642,                0.87331,                 1.2923,              0.0010399,              0.0010399,              0.0010399
                     40,                0.68336,                0.54802,                 1.0518,                0.74355,                0.69043,                0.76672,                0.53157,                 1.0381,                0.84026,                 1.3795,              0.0010234,              0.0010234,              0.0010234
                     41,                0.66963,                0.53476,                 1.0412,                0.86616,                0.75265,                0.83624,                0.60872,                0.90496,                 0.7206,                 1.2459,              0.0010069,              0.0010069,              0.0010069
                     42,                0.66547,                0.52973,                 1.0501,                0.85144,                0.77852,                0.84026,                0.60545,                0.93876,                0.71144,                 1.2704,             0.00099036,             0.00099036,             0.00099036
                     43,                0.66952,                0.52656,                 1.0404,                0.80224,                0.79124,                0.82081,                0.59402,                 0.9433,                0.77429,                 1.2743,             0.00097386,             0.00097386,             0.00097386
                     44,                0.66472,                0.52246,                 1.0462,                0.82725,                0.77026,                0.83901,                0.60904,                0.91247,                0.71127,                 1.2786,             0.00095736,             0.00095736,             0.00095736
                     45,                0.65638,                0.51784,                 1.0453,                0.86477,                0.74968,                0.81352,                0.59713,                0.94634,                0.73712,                   1.28,             0.00094085,             0.00094085,             0.00094085
                     46,                0.64311,                0.50896,                 1.0287,                0.79705,                0.76386,                0.80975,                0.57814,                 0.9565,                0.75986,                    1.3,             0.00092435,             0.00092435,             0.00092435
                     47,                0.63431,                0.48834,                 1.0204,                0.81958,                0.78957,                0.83836,                0.59973,                0.91084,                 0.7106,                 1.2581,             0.00090785,             0.00090785,             0.00090785
                     48,                0.64777,                0.53306,                  1.046,                0.83773,                 0.7615,                0.82763,                0.59367,                0.96659,                0.72582,                 1.2946,             0.00089134,             0.00089134,             0.00089134
                     49,                0.63631,                0.50648,                 1.0241,                0.83102,                0.77822,                0.82523,                0.59508,                0.93272,                 0.7332,                  1.258,             0.00087484,             0.00087484,             0.00087484
                     50,                0.61991,                0.47471,                 1.0133,                0.89185,                0.73179,                0.85024,                0.61531,                0.92516,                 0.6727,                 1.2687,             0.00085834,             0.00085834,             0.00085834
                     51,                0.63326,                 0.4817,                 1.0272,                 0.8833,                0.80257,                0.86472,                0.61589,                0.94488,                0.64644,                 1.2659,             0.00084184,             0.00084184,             0.00084184
                     52,                0.62935,                0.48871,                 1.0157,                  0.857,                0.79124,                0.83837,                0.61837,                0.90172,                0.68669,                 1.2327,             0.00082533,             0.00082533,             0.00082533
