                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0319,                 1.6349,                 1.2992,                0.49085,                0.52385,                0.40822,                0.25593,                 1.2408,                 3.3034,                 1.8307,             0.00053979,             0.00053979,             0.00053979
                      2,                 1.0346,                 1.1477,                 1.3102,                0.55292,                0.08482,                0.02911,                0.00875,                 2.6378,                 16.117,                 4.3183,              0.0010846,              0.0010846,              0.0010846
                      3,                 1.1405,                 1.1924,                 1.3804,                0.04172,                0.18831,                0.01502,                0.00661,                  2.572,                    inf,                 3.6452,              0.0016184,              0.0016184,              0.0016184
                      4,                  1.094,                 1.1678,                 1.3556,                0.22166,                0.36153,                0.17934,                0.09693,                 1.6912,                 6.5708,                 2.2501,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0477,                 1.0342,                 1.3079,                0.48395,                0.38697,                0.35703,                 0.2082,                 1.5999,                 3.8381,                 2.1601,               0.001601,               0.001601,               0.001601
                      6,                 1.0253,                 1.0157,                 1.3071,                0.42596,                0.44163,                0.35521,                0.20255,                  1.501,                 3.0492,                 2.0108,              0.0015845,              0.0015845,              0.0015845
                      7,                0.98637,                0.98106,                 1.2682,                0.71198,                0.56754,                0.62858,                0.41813,                 1.2139,                 1.7964,                 1.6211,               0.001568,               0.001568,               0.001568
                      8,                0.94207,                0.92559,                 1.2441,                0.58575,                0.62623,                 0.6006,                0.39527,                 1.2166,                 1.7347,                 1.5951,              0.0015515,              0.0015515,              0.0015515
                      9,                  0.923,                0.88874,                 1.2293,                0.69381,                0.63672,                0.66209,                 0.4399,                 1.2393,                 1.5218,                 1.6501,               0.001535,               0.001535,               0.001535
                     10,                 0.9261,                0.83495,                 1.2264,                0.68746,                0.58011,                0.61917,                0.42138,                 1.2173,                 1.2788,                 1.5633,              0.0015185,              0.0015185,              0.0015185
                     11,                0.88535,                0.81804,                 1.2065,                0.77026,                0.66501,                0.75172,                0.50133,                 1.1133,                 1.0192,                  1.482,               0.001502,               0.001502,               0.001502
                     12,                 0.8637,                0.78495,                  1.197,                0.69064,                0.62928,                0.69586,                0.43734,                 1.1989,                 1.3653,                 1.5894,              0.0014855,              0.0014855,              0.0014855
                     13,                0.86893,                0.79357,                 1.1937,                0.78592,                0.68954,                0.74776,                0.49089,                 1.1115,                 1.0654,                 1.4799,               0.001469,               0.001469,               0.001469
                     14,                0.83127,                0.75666,                 1.1702,                0.73806,                0.63702,                0.71036,                0.45369,                 1.1596,                 1.0899,                 1.5092,              0.0014525,              0.0014525,              0.0014525
