               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0823,              1.9248,              1.3088,             0.70687,              0.5633,             0.63696,             0.47513,             0.93787,              1.0798,              1.4245,            0.070698,           0.0032558,           0.0032558
                   1,             0.89608,             0.99921,              1.1824,             0.60132,             0.67884,              0.6755,             0.51093,             0.94719,             0.89492,              1.3505,            0.040632,           0.0065239,           0.0065239
                   2,             0.90623,             0.90868,              1.1693,             0.58375,              0.6031,             0.58272,             0.42054,              1.0901,              1.0802,              1.5204,            0.010501,            0.009726,            0.009726
                   3,             0.96866,             0.87322,              1.2097,             0.66799,             0.68137,             0.71976,              0.5071,              1.0285,             0.97807,              1.3718,            0.009703,            0.009703,            0.009703
                   4,             0.95467,             0.81893,              1.1843,             0.56756,             0.45073,             0.46997,             0.33562,              1.1903,              1.5096,              1.5841,            0.009703,            0.009703,            0.009703
                   5,             0.92358,             0.80648,              1.1803,             0.75285,             0.77486,             0.79365,             0.56223,              1.0221,             0.77313,              1.4338,            0.009604,            0.009604,            0.009604
                   6,             0.94593,             0.83266,              1.1834,             0.71206,             0.71305,             0.71678,             0.52315,              1.0525,             0.86065,              1.4761,            0.009505,            0.009505,            0.009505
                   7,             0.95473,             0.80242,              1.1981,             0.74901,             0.76102,             0.79411,             0.55814,             0.97739,             0.82239,              1.3929,            0.009406,            0.009406,            0.009406
                   8,             0.94506,             0.76769,              1.1871,             0.73743,             0.76617,             0.78947,             0.53698,              1.1063,             0.78497,              1.4602,            0.009307,            0.009307,            0.009307
                   9,             0.92501,             0.76572,              1.1751,             0.72032,             0.66789,             0.72078,             0.49472,              1.0927,             0.90255,              1.4931,            0.009208,            0.009208,            0.009208
                  10,             0.92688,             0.79545,              1.1792,             0.79272,             0.75501,             0.82329,             0.58558,             0.98854,             0.69282,              1.4173,            0.009109,            0.009109,            0.009109
                  11,             0.89755,             0.72782,              1.1534,             0.81237,             0.65276,               0.738,             0.51341,              1.0778,             0.79658,              1.4538,             0.00901,             0.00901,             0.00901
                  12,             0.89664,             0.71072,              1.1414,             0.74169,             0.68108,             0.74919,             0.53594,              1.0611,             0.82235,              1.4281,            0.008911,            0.008911,            0.008911
                  13,             0.87396,             0.70854,              1.1484,             0.85126,             0.74132,             0.83748,             0.58942,              1.0742,             0.71315,              1.4714,            0.008812,            0.008812,            0.008812
                  14,             0.84872,             0.67174,              1.1277,             0.76361,             0.76171,              0.8058,             0.57892,             0.95046,             0.68383,               1.374,            0.008713,            0.008713,            0.008713
                  15,             0.88187,             0.73085,              1.1741,             0.75758,              0.7168,             0.75592,             0.54189,              0.9457,             0.82765,              1.3446,            0.008614,            0.008614,            0.008614
                  16,             0.87172,             0.71184,              1.1596,             0.82418,             0.72142,             0.80884,             0.57616,              1.0742,             0.73516,              1.4065,            0.008515,            0.008515,            0.008515
                  17,             0.86342,             0.68398,              1.1488,             0.77338,             0.68961,             0.75457,             0.50117,              1.1064,             0.77732,              1.4557,            0.008416,            0.008416,            0.008416
                  18,             0.85173,             0.66851,               1.122,             0.78002,              0.8059,             0.83264,             0.58739,              0.9479,             0.65019,              1.3153,            0.008317,            0.008317,            0.008317
                  19,             0.85544,             0.66482,              1.1251,             0.77474,             0.70576,             0.77527,              0.5462,              1.0605,             0.81428,              1.4412,            0.008218,            0.008218,            0.008218
                  20,             0.84324,             0.66653,               1.126,             0.81702,             0.76848,             0.84285,             0.60119,             0.95943,             0.63614,               1.331,            0.008119,            0.008119,            0.008119
