               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.0823,              1.9248,              1.3088,             0.70687,              0.5633,             0.63696,             0.47513,             0.93787,              1.0798,              1.4245,            0.070698,           0.0032558,           0.0032558
                   1,             0.89215,             0.98763,              1.1794,             0.73391,             0.60154,              0.6618,             0.49763,             0.94154,             0.92782,              1.3508,            0.040589,           0.0064804,           0.0064804
                   2,             0.92019,             0.89598,              1.1564,             0.74927,             0.68166,             0.74947,             0.53767,              1.0154,             0.95728,              1.4324,             0.01037,            0.009595,            0.009595
                   3,             0.94338,             0.87791,              1.1973,              0.7667,               0.667,             0.70854,             0.50481,              1.0049,             0.89447,              1.3194,            0.009505,            0.009505,            0.009505
                   4,             0.93807,             0.82264,              1.1789,             0.81207,             0.65488,             0.75075,             0.50149,              1.1463,             0.94985,              1.5227,            0.009505,            0.009505,            0.009505
                   5,             0.91733,             0.79747,              1.1704,             0.76277,             0.66507,             0.70702,             0.49363,              1.0285,             0.96089,              1.4285,             0.00934,             0.00934,             0.00934
                   6,             0.93975,             0.81093,              1.1726,             0.85257,             0.68453,             0.79906,             0.56607,              1.0069,             0.80997,              1.3977,            0.009175,            0.009175,            0.009175
                   7,             0.93502,             0.77659,              1.1803,             0.77375,             0.74705,             0.78784,             0.56444,              0.9871,             0.77711,              1.3638,             0.00901,             0.00901,             0.00901
                   8,             0.92526,             0.76005,              1.1718,             0.77385,             0.75066,             0.80462,             0.55931,              1.0882,             0.79292,              1.4715,            0.008845,            0.008845,            0.008845
                   9,             0.90871,             0.74438,              1.1625,             0.62574,             0.65108,             0.62957,             0.45078,               1.204,              1.0242,               1.625,             0.00868,             0.00868,             0.00868
                  10,             0.91128,             0.76643,              1.1603,             0.75452,             0.68731,             0.75364,             0.50574,              1.0382,             0.92867,              1.4058,            0.008515,            0.008515,            0.008515
                  11,             0.88631,             0.72462,              1.1523,             0.78178,             0.74393,              0.7997,             0.58107,             0.95955,             0.69656,              1.3627,             0.00835,             0.00835,             0.00835
                  12,             0.87276,             0.70698,              1.1443,             0.83996,             0.76746,             0.82973,             0.60287,             0.99909,             0.64153,              1.3746,            0.008185,            0.008185,            0.008185
                  13,             0.84874,             0.68263,              1.1336,             0.83002,             0.75086,             0.82319,             0.60019,             0.98288,             0.68141,              1.4525,             0.00802,             0.00802,             0.00802
                  14,              0.8243,               0.664,              1.1194,              0.7723,             0.77362,             0.81869,             0.57127,              1.0002,             0.77406,              1.4164,            0.007855,            0.007855,            0.007855
                  15,             0.85729,             0.68887,              1.1467,              0.8308,             0.75397,             0.83125,             0.60705,             0.89575,             0.68666,              1.2832,             0.00769,             0.00769,             0.00769
                  16,             0.85136,             0.67983,              1.1406,             0.82185,             0.78715,             0.84953,             0.61601,             0.94846,             0.61024,              1.3073,            0.007525,            0.007525,            0.007525
                  17,             0.84556,              0.6656,              1.1356,             0.80297,             0.78178,             0.83578,             0.60981,             0.94881,             0.64499,              1.3378,             0.00736,             0.00736,             0.00736
                  18,             0.81874,             0.63069,              1.1062,             0.74816,             0.77666,             0.82126,             0.57789,             0.96202,             0.65261,               1.336,            0.007195,            0.007195,            0.007195
                  19,              0.8232,             0.63897,              1.1047,             0.82497,             0.76617,             0.83594,             0.60798,             0.99555,             0.63367,              1.4007,             0.00703,             0.00703,             0.00703
                  20,             0.80797,             0.63529,              1.1088,             0.81021,             0.83908,             0.87349,             0.62452,             0.97243,             0.59275,              1.3507,            0.006865,            0.006865,            0.006865
                  21,             0.81725,             0.63776,              1.1191,             0.75923,             0.82873,             0.83957,             0.60936,              0.8998,             0.61186,               1.302,              0.0067,              0.0067,              0.0067
                  22,             0.80151,             0.60866,              1.0998,             0.79981,             0.82449,             0.85572,             0.62102,             0.92325,             0.61485,              1.3281,            0.006535,            0.006535,            0.006535
                  23,             0.79854,             0.61309,              1.0999,             0.80473,             0.70956,             0.75709,             0.53597,              1.0282,             0.78015,              1.5075,             0.00637,             0.00637,             0.00637
                  24,             0.78891,             0.61965,              1.1052,             0.80401,             0.81832,             0.85778,             0.63228,             0.91414,             0.59892,              1.3198,            0.006205,            0.006205,            0.006205
                  25,             0.76936,             0.59174,              1.0864,             0.84556,             0.82978,             0.87419,             0.65602,             0.90648,             0.57995,              1.2919,             0.00604,             0.00604,             0.00604
                  26,             0.77128,             0.59269,              1.0893,             0.86338,             0.83107,             0.89256,             0.65496,             0.94119,             0.54855,              1.3244,            0.005875,            0.005875,            0.005875
                  27,             0.75673,             0.56573,              1.0715,             0.87662,             0.78462,             0.88485,             0.64939,             0.93356,             0.54562,              1.3512,             0.00571,             0.00571,             0.00571
                  28,              0.7398,             0.55884,               1.078,             0.86018,             0.84086,             0.89445,             0.65675,             0.90097,             0.54112,               1.294,            0.005545,            0.005545,            0.005545
                  29,                0.77,             0.58158,              1.0813,             0.87679,              0.7992,             0.88474,             0.63459,             0.91858,             0.54866,              1.3225,             0.00538,             0.00538,             0.00538
                  30,             0.75962,             0.55225,              1.0669,             0.86998,             0.82814,             0.89183,             0.64994,             0.89706,             0.50747,              1.3276,            0.005215,            0.005215,            0.005215
                  31,             0.74985,             0.55362,              1.0709,             0.83624,             0.75661,             0.82456,             0.59615,             0.96296,             0.63101,               1.358,             0.00505,             0.00505,             0.00505
                  32,             0.72267,             0.53056,              1.0526,             0.91337,             0.79638,              0.8658,               0.655,              0.8837,             0.53306,              1.3119,            0.004885,            0.004885,            0.004885
                  33,             0.74404,             0.55031,               1.069,             0.88901,             0.81781,             0.89601,             0.66987,              0.8865,             0.52523,              1.2743,             0.00472,             0.00472,             0.00472
                  34,             0.73126,             0.53069,              1.0584,             0.88532,             0.81027,             0.86772,             0.64153,             0.89483,             0.56254,              1.2779,            0.004555,            0.004555,            0.004555
                  35,             0.71333,             0.52941,               1.059,             0.86679,             0.82506,             0.86571,             0.64732,             0.88912,             0.53402,              1.2736,             0.00439,             0.00439,             0.00439
                  36,             0.71693,             0.51676,              1.0452,             0.88624,             0.84213,             0.90244,             0.67411,             0.86195,             0.47827,              1.2517,            0.004225,            0.004225,            0.004225
                  37,             0.70435,             0.51066,              1.0386,             0.88837,             0.79247,             0.86983,             0.66706,             0.83437,             0.48848,              1.2131,             0.00406,             0.00406,             0.00406
                  38,              0.6929,             0.50603,              1.0438,             0.90879,             0.81259,             0.88693,             0.67691,             0.84935,             0.51226,              1.2583,            0.003895,            0.003895,            0.003895
                  39,             0.70262,             0.52084,               1.053,             0.85249,              0.7908,             0.84017,             0.61977,             0.88242,             0.58232,              1.2291,             0.00373,             0.00373,             0.00373
                  40,             0.67638,                0.49,              1.0281,             0.90971,             0.79923,             0.89661,             0.67763,             0.86081,             0.48264,              1.2551,            0.003565,            0.003565,            0.003565
                  41,              0.6741,             0.48532,              1.0367,             0.90165,             0.78886,             0.88193,             0.67478,             0.81309,             0.50445,               1.244,              0.0034,              0.0034,              0.0034
                  42,             0.69018,             0.49154,              1.0412,             0.89614,             0.84642,             0.89103,             0.68248,             0.83249,             0.46641,              1.2592,            0.003235,            0.003235,            0.003235
                  43,             0.67348,             0.47115,              1.0241,              0.8832,             0.83387,             0.88929,              0.6807,             0.84407,             0.47788,              1.2221,             0.00307,             0.00307,             0.00307
                  44,             0.66025,             0.45994,              1.0103,             0.88135,             0.82435,             0.89604,             0.67619,             0.87502,             0.48439,              1.2799,            0.002905,            0.002905,            0.002905
                  45,              0.5627,              0.3835,              1.0278,             0.86893,             0.85154,             0.88406,             0.65145,             0.92226,              0.4911,              1.3361,             0.00274,             0.00274,             0.00274
